document_id,case_id,document_type,document_date,language,narrative_text,source_officer,document_status,text_quality
DOC001720,C001720,FIR,2023-08-31,English,"On 24 August 2023 at approximately 12:51 hrs, Mrunal M Dhumal was reported in connection with a rioting incident in the Kothrud area, Pune. Mrunal Ramesh Deshmukh was identified as another person relevant to the inquiry. The record notes vehicle MH15HS4464 and contact number 9575499059 in connection with the reported events. The matter was registered on 30 August 2023 under IPC 147 and assigned to investigating officer IO0116.",IO0116,Reviewed,0.948
DOC001721,C001721,FIR,2020-04-04,English,"On 14 March 2020 at approximately 20:01 hrs, Swapnil Sharma was reported in connection with a criminal intimidation incident in the Shivajinagar area, Pune. Rohit Kulkarni was identified as another person relevant to the inquiry. The record notes vehicle MH14IF5419 and contact number 9990938481 in connection with the reported events. The matter was registered on 26 March 2020 under IPC 506 and assigned to investigating officer IO0175.",IO0175,Final,0.984
DOC001722,C001722,FIR,2024-03-05,English,"On 19 February 2024 at approximately 13:39 hrs, Neha Jadhav was reported in connection with a criminal breach of trust incident in the Kondhwa area, Pune. Vikas V Pawar was identified as another person relevant to the inquiry. The record notes vehicle MH42ZA2307 and contact number 9165527743 in connection with the reported events. The matter was registered on 29 February 2024 under IPC 406 and assigned to investigating officer IO0339.",IO0339,Reviewed,0.961
DOC001723,C001723,Investigation Note,2018-02-11,English,"On 29 January 2018 at approximately 09:57 hrs, N. Kulkarni was reported in connection with a grievous hurt incident in the Shivajinagar area, Pune. Aditya Desai was identified as another person relevant to the inquiry. The record notes vehicle MH42UD8077 and contact number 9660559180 in connection with the reported events. The matter was registered on 31 January 2018 under IPC 325 and assigned to investigating officer IO0118.",IO0118,Archived,0.981
DOC001724,C001724,FIR,2022-11-03,English,"On 21 October 2022 at approximately 07:48 hrs, Arjun K Bhosale was reported in connection with a voluntarily causing hurt incident in the Kondhwa area, Pune. Riya Vijay Gore was identified as another person relevant to the inquiry. The record notes vehicle MH15BM5635 and contact number 9756806504 in connection with the reported events. The matter was registered on 21 October 2022 under IPC 323 and assigned to investigating officer IO0238.",IO0238,Draft,0.936
DOC001725,C001725,FIR,2023-12-04,English,"On 31 October 2023 at approximately 16:11 hrs, Manish S Gaikwad was reported in connection with a grievous hurt incident in the Yerawada area, Pune. Rohit Desai was identified as another person relevant to the inquiry. The record notes vehicle MH12XK5638 and contact number 9953338983 in connection with the reported events. The matter was registered on 14 November 2023 under IPC 325 and assigned to investigating officer IO0040.",IO0040,Draft,0.953
DOC001726,C001726,FIR,2018-06-28,English,"On 18 May 2018 at approximately 12:55 hrs, Sahil Dilip Gore was reported in connection with a rioting incident in the Baner area, Pune. Deepa A Naik was identified as another person relevant to the inquiry. The record notes vehicle MH12JJ6807 and contact number 9275556566 in connection with the reported events. The matter was registered on 01 June 2018 under IPC 147 and assigned to investigating officer IO0271.",IO0271,Reviewed,0.968
DOC001727,C001727,FIR,2019-02-04,English,"On 22 January 2019 at approximately 12:42 hrs, Sonali M Gaikwad was reported in connection with a cheating by personation / cyber fraud incident in the Pimpri area, Pune. Sneha Naik was identified as another person relevant to the inquiry. The record notes vehicle MH15RX2559 and contact number 9112572492 in connection with the reported events. The matter was registered on 23 January 2019 under IPC 419/420 and assigned to investigating officer IO0190.",IO0190,Reviewed,0.942
DOC001728,C001728,FIR,2018-04-12,English,"On 07 April 2018 at approximately 20:38 hrs, Sonali A Bhosale was reported in connection with a voluntarily causing hurt incident in the Swargate area, Pune. Rahul Sharma was identified as another person relevant to the inquiry. The record notes vehicle MH42MU9114 and contact number 9355478291 in connection with the reported events. The matter was registered on 10 April 2018 under IPC 323 and assigned to investigating officer IO0285.",IO0285,Reviewed,0.986
DOC001729,C001729,FIR,2019-01-05,English,"On 16 December 2018 at approximately 21:29 hrs, Simran Sawant was reported in connection with a house-breaking / house-trespass incident in the Pimpri area, Pune. Swapnil Sharma was identified as another person relevant to the inquiry. The record notes vehicle MH15LR6119 and contact number 9153547348 in connection with the reported events. The matter was registered on 29 December 2018 under IPC 454 and assigned to investigating officer IO0185.",IO0185,Final,0.968
DOC001730,C001730,Statement,2020-04-22,English,"On 03 April 2020 at approximately 20:07 hrs, Vivek Chavan was reported in connection with a sexual harassment incident in the Vishrantwadi area, Pune. Swati Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH42MQ7274 and contact number 9949335719 in connection with the reported events. The matter was registered on 12 April 2020 under IPC 354A and assigned to investigating officer IO0068.",IO0068,Reviewed,0.966
DOC001731,C001731,Statement,2019-08-01,English,"On 11 July 2019 at approximately 22:38 hrs, Manish A Desai was reported in connection with a assault / criminal force to woman incident in the Bhosari area, Pune. Arjun Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH12FT8666 and contact number 9392875304 in connection with the reported events. The matter was registered on 17 July 2019 under IPC 354 and assigned to investigating officer IO0289.",IO0289,Reviewed,0.952
DOC001732,C001732,Statement,2022-10-30,English,"On 10 October 2022 at approximately 15:49 hrs, Dhruv Anil More was reported in connection with a grievous hurt incident in the Hadapsar area, Pune. Aarav K Deshmukh was identified as another person relevant to the inquiry. The record notes vehicle MH12AW1422 and contact number 9567860907 in connection with the reported events. The matter was registered on 19 October 2022 under IPC 325 and assigned to investigating officer IO0322.",IO0322,Reviewed,0.956
DOC001733,C001733,FIR,2020-05-03,English,"On 23 March 2020 at approximately 22:04 hrs, Rahul Jadhav was reported in connection with a voluntarily causing hurt incident in the Viman Nagar area, Pune. Akash Anil Thakur was identified as another person relevant to the inquiry. The record notes vehicle MH14VR7039 and contact number 9361353198 in connection with the reported events. The matter was registered on 05 April 2020 under IPC 323 and assigned to investigating officer IO0048.",IO0048,Reviewed,0.928
DOC001734,C001734,FIR,2021-03-24,English,"On 23 February 2021 at approximately 22:42 hrs, Aarav Shinde was reported in connection with a cheating incident in the Wakad area, Pune. Vikas Wagh was identified as another person relevant to the inquiry. The record notes vehicle MH12LA4081 and contact number 9444840055 in connection with the reported events. The matter was registered on 04 March 2021 under IPC 420 and assigned to investigating officer IO0268.",IO0268,Reviewed,0.948
DOC001735,C001735,Investigation Note,2019-01-11,English,"On 09 December 2018 at approximately 07:12 hrs, Swati Sanjay Kadam was reported in connection with a rioting incident in the Yerawada area, Pune. Madhura Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH42JJ7732 and contact number 9809985939 in connection with the reported events. The matter was registered on 16 December 2018 under IPC 147 and assigned to investigating officer IO0349.",IO0349,Archived,0.921
DOC001736,C001736,FIR,2020-05-16,English,"On 04 May 2020 at approximately 13:05 hrs, Shruti D Sutar was reported in connection with a assault / criminal force to woman incident in the Aundh area, Pune. Atharva Kale was identified as another person relevant to the inquiry. The record notes vehicle MH15NG3906 and contact number 9617401266 in connection with the reported events. The matter was registered on 11 May 2020 under IPC 354 and assigned to investigating officer IO0159.",IO0159,Reviewed,0.938
DOC001737,C001737,Case Summary,2024-04-19,English,"On 01 April 2024 at approximately 23:55 hrs, Ritesh Vijay Chavan was reported in connection with a using forged document incident in the Kondhwa area, Pune. Rohan Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH12UO2812 and contact number 9113076128 in connection with the reported events. The matter was registered on 13 April 2024 under IPC 471 and assigned to investigating officer IO0228.",IO0228,Reviewed,0.937
DOC001738,C001738,FIR,2024-07-03,English,"On 02 June 2024 at approximately 12:57 hrs, Aarav Patil was reported in connection with a rioting incident in the Viman Nagar area, Pune. Gaurav Sanjay Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH12BR4053 and contact number 9616984761 in connection with the reported events. The matter was registered on 16 June 2024 under IPC 147 and assigned to investigating officer IO0182.",IO0182,Archived,0.932
DOC001739,C001739,FIR,2019-01-05,English,"On 15 December 2018 at approximately 14:58 hrs, Vivek Jadhav was reported in connection with a theft in dwelling house incident in the Wakad area, Pune. Shruti Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH42WC3717 and contact number 9336626184 in connection with the reported events. The matter was registered on 19 December 2018 under IPC 380 and assigned to investigating officer IO0078.",IO0078,Final,0.948
DOC001740,C001740,FIR,2024-02-16,English,"On 19 January 2024 at approximately 19:24 hrs, Shubham Chavan was reported in connection with a theft of property incident in the Chinchwad area, Pune. Isha Dilip Shinde was identified as another person relevant to the inquiry. The record notes vehicle MH14XA5387 and contact number 9188931357 in connection with the reported events. The matter was registered on 24 January 2024 under IPC 379 and assigned to investigating officer IO0024.",IO0024,Reviewed,0.955
DOC001741,C001741,Investigation Note,2018-07-28,English,"On 28 July 2018 at approximately 08:30 hrs, Komal Pande was reported in connection with a cheating incident in the Baner area, Pune. Ananya Thakur was identified as another person relevant to the inquiry. The record notes vehicle MH12GV3982 and contact number 9949311089 in connection with the reported events. The matter was registered on 28 July 2018 under IPC 420 and assigned to investigating officer IO0185.",IO0185,Final,0.945
DOC001742,C001742,FIR,2023-04-28,English,"On 05 April 2023 at approximately 15:23 hrs, Tanvi Mahesh Kulkarni was reported in connection with a criminal breach of trust incident in the Kothrud area, Pune. Shubham Prakash Pawar was identified as another person relevant to the inquiry. The record notes vehicle MH15TZ2368 and contact number 9494287354 in connection with the reported events. The matter was registered on 05 April 2023 under IPC 406 and assigned to investigating officer IO0298.",IO0298,Final,0.929
DOC001743,C001743,Statement,2021-01-06,English,"On 09 December 2020 at approximately 20:45 hrs, Ritesh Sutar was reported in connection with a cheating incident in the Yerawada area, Pune. Kunal Sharma was identified as another person relevant to the inquiry. The record notes vehicle MH15KL3758 and contact number 9186724603 in connection with the reported events. The matter was registered on 16 December 2020 under IPC 420 and assigned to investigating officer IO0022.",IO0022,Archived,0.975
DOC001744,C001744,FIR,2020-09-15,English,"On 11 August 2020 at approximately 18:52 hrs, Neha Kulkarni was reported in connection with a forgery incident in the Katraj area, Pune. Aarav Sanjay Pawar was identified as another person relevant to the inquiry. The record notes vehicle MH12SG8027 and contact number 9315080218 in connection with the reported events. The matter was registered on 23 August 2020 under IPC 465 and assigned to investigating officer IO0041.",IO0041,Final,0.964
DOC001745,C001745,FIR,2023-04-19,English,"On 20 March 2023 at approximately 22:50 hrs, Aarav Sutar was reported in connection with a mischief causing damage incident in the Swargate area, Pune. Swapnil Kale was identified as another person relevant to the inquiry. The record notes vehicle MH15OY1739 and contact number 9873803463 in connection with the reported events. The matter was registered on 22 March 2023 under IPC 427 and assigned to investigating officer IO0135.",IO0135,Final,0.981
DOC001746,C001746,Statement,2019-11-06,English,"On 04 October 2019 at approximately 15:52 hrs, Sneha Pande was reported in connection with a cheating by personation / cyber fraud incident in the Shivajinagar area, Pune. Mayur Desai was identified as another person relevant to the inquiry. The record notes vehicle MH42ZZ7149 and contact number 9673955402 in connection with the reported events. The matter was registered on 16 October 2019 under IPC 419/420 and assigned to investigating officer IO0282.",IO0282,Final,0.932
DOC001747,C001747,FIR,2020-08-06,English,"On 09 July 2020 at approximately 21:25 hrs, Akash Anil Bhosale was reported in connection with a unlawful assembly incident in the Yerawada area, Pune. Gaurav Mane was identified as another person relevant to the inquiry. The record notes vehicle MH12LF7036 and contact number 9527901920 in connection with the reported events. The matter was registered on 22 July 2020 under IPC 141 and assigned to investigating officer IO0070.",IO0070,Final,0.957
DOC001748,C001748,Case Summary,2023-06-10,English,"On 22 May 2023 at approximately 12:38 hrs, Swapnil R Sharma was reported in connection with a theft of property incident in the Bhosari area, Pune. T. Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH12GT3529 and contact number 9937827409 in connection with the reported events. The matter was registered on 24 May 2023 under IPC 379 and assigned to investigating officer IO0153.",IO0153,Archived,0.929
DOC001749,C001749,FIR,2020-03-30,English,"On 15 March 2020 at approximately 15:46 hrs, Ritesh Desai was reported in connection with a using forged document incident in the Vishrantwadi area, Pune. Shruti Prakash Gore was identified as another person relevant to the inquiry. The record notes vehicle MH15SB1644 and contact number 9835652010 in connection with the reported events. The matter was registered on 27 March 2020 under IPC 471 and assigned to investigating officer IO0181.",IO0181,Archived,0.946
DOC001750,C001750,FIR,2022-08-23,English,"On 17 August 2022 at approximately 23:22 hrs, Aanya Joshi was reported in connection with a unlawful assembly incident in the Swargate area, Pune. Amit Prakash Deshmukh was identified as another person relevant to the inquiry. The record notes vehicle MH12CV7454 and contact number 9521498039 in connection with the reported events. The matter was registered on 17 August 2022 under IPC 141 and assigned to investigating officer IO0339.",IO0339,Reviewed,0.971
DOC001751,C001751,Statement,2024-02-11,English,"On 04 February 2024 at approximately 09:51 hrs, Aditi Pande was reported in connection with a theft in dwelling house incident in the Bhosari area, Pune. Bhavana V Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH15OX7236 and contact number 9961301410 in connection with the reported events. The matter was registered on 11 February 2024 under IPC 380 and assigned to investigating officer IO0328.",IO0328,Reviewed,0.927
DOC001752,C001752,Statement,2021-06-06,English,"On 17 May 2021 at approximately 22:02 hrs, Vidya K Sawant was reported in connection with a mischief causing damage incident in the Wakad area, Pune. Saurabh V Wagh was identified as another person relevant to the inquiry. The record notes vehicle MH12HI7778 and contact number 9797077776 in connection with the reported events. The matter was registered on 20 May 2021 under IPC 427 and assigned to investigating officer IO0163.",IO0163,Reviewed,0.982
DOC001753,C001753,FIR,2023-04-15,English,"On 30 March 2023 at approximately 12:44 hrs, Sakshi Joshi was reported in connection with a criminal intimidation incident in the Baner area, Pune. Komal Sanjay Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH12XH2826 and contact number 9444431851 in connection with the reported events. The matter was registered on 30 March 2023 under IPC 506 and assigned to investigating officer IO0140.",IO0140,Final,0.929
DOC001754,C001754,FIR,2018-08-20,English,"On 14 August 2018 at approximately 22:40 hrs, Sahil Naik was reported in connection with a voluntarily causing hurt incident in the Baner area, Pune. Omkar Kulkarni was identified as another person relevant to the inquiry. The record notes vehicle MH15HA2325 and contact number 9878942202 in connection with the reported events. The matter was registered on 17 August 2018 under IPC 323 and assigned to investigating officer IO0070.",IO0070,Reviewed,0.958
DOC001755,C001755,Investigation Note,2021-04-06,English,"On 19 March 2021 at approximately 13:57 hrs, R. Joshi was reported in connection with a criminal intimidation incident in the Chinchwad area, Pune. Vikas Joshi was identified as another person relevant to the inquiry. The record notes vehicle MH12GX2937 and contact number 9939581399 in connection with the reported events. The matter was registered on 01 April 2021 under IPC 506 and assigned to investigating officer IO0045.",IO0045,Final,0.945
DOC001756,C001756,Investigation Note,2018-04-13,English,"On 12 March 2018 at approximately 10:30 hrs, Sonali More was reported in connection with a mischief causing damage incident in the Kondhwa area, Pune. Akash Shinde was identified as another person relevant to the inquiry. The record notes vehicle MH42AD6061 and contact number 9855573945 in connection with the reported events. The matter was registered on 20 March 2018 under IPC 427 and assigned to investigating officer IO0197.",IO0197,Final,0.966
DOC001757,C001757,FIR,2018-09-04,English,"On 06 August 2018 at approximately 21:56 hrs, Shreya Sutar was reported in connection with a house-breaking / house-trespass incident in the Pimpri area, Pune. Gaurav Shinde was identified as another person relevant to the inquiry. The record notes vehicle MH15LQ5275 and contact number 9872633387 in connection with the reported events. The matter was registered on 17 August 2018 under IPC 454 and assigned to investigating officer IO0219.",IO0219,Reviewed,0.947
DOC001758,C001758,FIR,2021-07-28,English,"On 27 July 2021 at approximately 22:28 hrs, Aniket Dilip Wagh was reported in connection with a mischief causing damage incident in the Vishrantwadi area, Pune. Nikita R Kadam was identified as another person relevant to the inquiry. The record notes vehicle MH42MQ3341 and contact number 9271675247 in connection with the reported events. The matter was registered on 27 July 2021 under IPC 427 and assigned to investigating officer IO0264.",IO0264,Reviewed,0.97
DOC001759,C001759,FIR,2020-01-24,English,"On 01 January 2020 at approximately 11:03 hrs, Mahi Gaikwad was reported in connection with a house-breaking / house-trespass incident in the Hadapsar area, Pune. Vidya Sutar was identified as another person relevant to the inquiry. The record notes vehicle MH14ML7114 and contact number 9874893297 in connection with the reported events. The matter was registered on 10 January 2020 under IPC 454 and assigned to investigating officer IO0324.",IO0324,Reviewed,0.933
DOC001760,C001760,FIR,2019-02-14,English,"On 06 January 2019 at approximately 18:52 hrs, Shreya Sharma was reported in connection with a voluntarily causing hurt incident in the Swargate area, Pune. S. Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH12AI4877 and contact number 9446510299 in connection with the reported events. The matter was registered on 20 January 2019 under IPC 323 and assigned to investigating officer IO0061.",IO0061,Reviewed,0.961
DOC001761,C001761,FIR,2024-05-14,English,"On 28 April 2024 at approximately 10:35 hrs, Vivek Thakur was reported in connection with a theft in dwelling house incident in the Swargate area, Pune. Isha Thakur was identified as another person relevant to the inquiry. The record notes vehicle MH15HZ2208 and contact number 9662610896 in connection with the reported events. The matter was registered on 10 May 2024 under IPC 380 and assigned to investigating officer IO0341.",IO0341,Final,0.976
DOC001762,C001762,FIR,2023-01-15,English,"On 30 December 2022 at approximately 18:11 hrs, Kavya P. was reported in connection with a theft of property incident in the Shivajinagar area, Pune. Bhavana Dilip Kale was identified as another person relevant to the inquiry. The record notes vehicle MH12CP9728 and contact number 9772546196 in connection with the reported events. The matter was registered on 10 January 2023 under IPC 379 and assigned to investigating officer IO0091.",IO0091,Reviewed,0.934
DOC001763,C001763,Investigation Note,2019-02-24,English,"On 10 February 2019 at approximately 21:48 hrs, Ritesh Naik was reported in connection with a voluntarily causing hurt incident in the Aundh area, Pune. R. Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH15BX5461 and contact number 9210410148 in connection with the reported events. The matter was registered on 22 February 2019 under IPC 323 and assigned to investigating officer IO0010.",IO0010,Final,0.968
DOC001764,C001764,FIR,2020-12-24,English,"On 17 December 2020 at approximately 15:23 hrs, Nikhil Gore was reported in connection with a voluntarily causing hurt incident in the Kondhwa area, Pune. Neha K. was identified as another person relevant to the inquiry. The record notes vehicle MH42AW2160 and contact number 9768071891 in connection with the reported events. The matter was registered on 18 December 2020 under IPC 323 and assigned to investigating officer IO0054.",IO0054,Reviewed,0.975
DOC001765,C001765,FIR,2019-10-26,English,"On 29 September 2019 at approximately 14:48 hrs, Ananya Bhosale was reported in connection with a voluntarily causing hurt incident in the Bhosari area, Pune. Vaishnavi Desai was identified as another person relevant to the inquiry. The record notes vehicle MH12NN1066 and contact number 9811578909 in connection with the reported events. The matter was registered on 10 October 2019 under IPC 323 and assigned to investigating officer IO0043.",IO0043,Archived,0.956
DOC001766,C001766,Statement,2022-02-23,English,"On 21 January 2022 at approximately 15:07 hrs, Tanvi Joshi was reported in connection with a house-breaking / house-trespass incident in the Katraj area, Pune. Omkar Ramesh Pawar was identified as another person relevant to the inquiry. The record notes vehicle MH12XX8784 and contact number 9640480045 in connection with the reported events. The matter was registered on 27 January 2022 under IPC 454 and assigned to investigating officer IO0246.",IO0246,Reviewed,0.93
DOC001767,C001767,Investigation Note,2018-12-09,English,"On 10 November 2018 at approximately 21:49 hrs, Dev S Mane was reported in connection with a cheating incident in the Kondhwa area, Pune. Swati Kadam was identified as another person relevant to the inquiry. The record notes vehicle MH12JG5341 and contact number 9104773162 in connection with the reported events. The matter was registered on 15 November 2018 under IPC 420 and assigned to investigating officer IO0112.",IO0112,Final,0.973
DOC001768,C001768,FIR,2020-09-08,English,"On 14 August 2020 at approximately 19:11 hrs, Ananya Pande was reported in connection with a robbery incident in the Kothrud area, Pune. Arjun Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH14XD9432 and contact number 9923729273 in connection with the reported events. The matter was registered on 19 August 2020 under IPC 392 and assigned to investigating officer IO0053.",IO0053,Draft,0.966
DOC001769,C001769,Case Summary,2020-02-11,English,"On 06 January 2020 at approximately 18:28 hrs, Shreya Kadam was reported in connection with a robbery incident in the Shivajinagar area, Pune. Nikita Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH14JY9311 and contact number 9282189739 in connection with the reported events. The matter was registered on 12 January 2020 under IPC 392 and assigned to investigating officer IO0056.",IO0056,Reviewed,0.937
DOC001770,C001770,FIR,2019-11-17,English,"On 19 October 2019 at approximately 14:40 hrs, Atharva Mahesh Sharma was reported in connection with a cheating by personation / cyber fraud incident in the Kondhwa area, Pune. Saurabh Thakur was identified as another person relevant to the inquiry. The record notes vehicle MH15SX4210 and contact number 9257332585 in connection with the reported events. The matter was registered on 01 November 2019 under IPC 419/420 and assigned to investigating officer IO0076.",IO0076,Reviewed,0.959
DOC001771,C001771,Case Summary,2020-07-04,English,"On 05 June 2020 at approximately 10:26 hrs, Sonali V Jadhav was reported in connection with a assault / criminal force to woman incident in the Aundh area, Pune. Shruti Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH42ME5536 and contact number 9238559335 in connection with the reported events. The matter was registered on 09 June 2020 under IPC 354 and assigned to investigating officer IO0080.",IO0080,Archived,0.958
DOC001772,C001772,FIR,2022-05-31,English,"On 03 May 2022 at approximately 08:29 hrs, Shubham Prakash Pawar was reported in connection with a robbery with preparation for hurt incident in the Kothrud area, Pune. Siddharth Sutar was identified as another person relevant to the inquiry. The record notes vehicle MH14RM6740 and contact number 9937333710 in connection with the reported events. The matter was registered on 08 May 2022 under IPC 393 and assigned to investigating officer IO0058.",IO0058,Final,0.967
DOC001773,C001773,FIR,2022-12-06,English,"On 23 November 2022 at approximately 15:00 hrs, Madhura Gaikwad was reported in connection with a grievous hurt incident in the Kothrud area, Pune. Yash V Sutar was identified as another person relevant to the inquiry. The record notes vehicle MH15MV3815 and contact number 9892226534 in connection with the reported events. The matter was registered on 26 November 2022 under IPC 325 and assigned to investigating officer IO0147.",IO0147,Final,0.983
DOC001774,C001774,Case Summary,2024-04-26,English,"On 04 April 2024 at approximately 11:09 hrs, Mayur Sawant was reported in connection with a mischief causing damage incident in the Katraj area, Pune. Rohit Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH15QX3660 and contact number 9668976735 in connection with the reported events. The matter was registered on 15 April 2024 under IPC 427 and assigned to investigating officer IO0056.",IO0056,Final,0.971
DOC001775,C001775,FIR,2023-06-04,English,"On 28 May 2023 at approximately 11:32 hrs, Mayur Gore was reported in connection with a theft of property incident in the Wakad area, Pune. Swati Kumar Salunkhe was identified as another person relevant to the inquiry. The record notes vehicle MH42XI6818 and contact number 9817292264 in connection with the reported events. The matter was registered on 03 June 2023 under IPC 379 and assigned to investigating officer IO0242.",IO0242,Final,0.986
DOC001776,C001776,FIR,2018-06-23,English,"On 18 June 2018 at approximately 20:10 hrs, Dhruv Mahesh Mane was reported in connection with a criminal breach of trust incident in the Katraj area, Pune. Yash Shinde was identified as another person relevant to the inquiry. The record notes vehicle MH12JZ3968 and contact number 9177733355 in connection with the reported events. The matter was registered on 22 June 2018 under IPC 406 and assigned to investigating officer IO0340.",IO0340,Archived,0.976
DOC001777,C001777,Investigation Note,2019-05-10,English,"On 03 April 2019 at approximately 06:03 hrs, Mayur Dhumal was reported in connection with a criminal intimidation incident in the Shivajinagar area, Pune. Sahil Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH14JS7434 and contact number 9725674064 in connection with the reported events. The matter was registered on 16 April 2019 under IPC 506 and assigned to investigating officer IO0093.",IO0093,Reviewed,0.972
DOC001778,C001778,Investigation Note,2023-11-20,English,"On 04 November 2023 at approximately 14:02 hrs, Meera Wagh was reported in connection with a theft of property incident in the Vishrantwadi area, Pune. Nikita B. was identified as another person relevant to the inquiry. The record notes vehicle MH12BG9404 and contact number 9350949381 in connection with the reported events. The matter was registered on 06 November 2023 under IPC 379 and assigned to investigating officer IO0058.",IO0058,Final,0.981
DOC001779,C001779,Statement,2023-04-27,English,"On 26 March 2023 at approximately 10:03 hrs, Akash Kumar Deshmukh was reported in connection with a theft of property incident in the Dhankawadi area, Pune. Deepa Desai was identified as another person relevant to the inquiry. The record notes vehicle MH14RM2187 and contact number 9704034767 in connection with the reported events. The matter was registered on 28 March 2023 under IPC 379 and assigned to investigating officer IO0307.",IO0307,Final,0.949
DOC001780,C001780,FIR,2023-02-08,English,"On 11 January 2023 at approximately 10:05 hrs, Tejas Dhumal was reported in connection with a using forged document incident in the Swargate area, Pune. Harsh Prakash Gore was identified as another person relevant to the inquiry. The record notes vehicle MH12RL3607 and contact number 9777130178 in connection with the reported events. The matter was registered on 13 January 2023 under IPC 471 and assigned to investigating officer IO0034.",IO0034,Final,0.968
DOC001781,C001781,FIR,2019-08-30,English,"On 11 August 2019 at approximately 14:45 hrs, Abhishek R Patil was reported in connection with a theft of property incident in the Baner area, Pune. Sahil Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH42FC3066 and contact number 9339384248 in connection with the reported events. The matter was registered on 11 August 2019 under IPC 379 and assigned to investigating officer IO0231.",IO0231,Reviewed,0.986
DOC001782,C001782,FIR,2020-03-25,English,"On 15 February 2020 at approximately 19:40 hrs, Abhishek Sutar was reported in connection with a cheating by personation / cyber fraud incident in the Kondhwa area, Pune. Swapnil M Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH42OC3566 and contact number 9591678828 in connection with the reported events. The matter was registered on 27 February 2020 under IPC 419/420 and assigned to investigating officer IO0209.",IO0209,Reviewed,0.965
DOC001783,C001783,FIR,2019-09-23,English,"On 06 September 2019 at approximately 21:47 hrs, Kunal Sutar was reported in connection with a theft of property incident in the Bhosari area, Pune. Aditya Kale was identified as another person relevant to the inquiry. The record notes vehicle MH42CZ5648 and contact number 9659882808 in connection with the reported events. The matter was registered on 06 September 2019 under IPC 379 and assigned to investigating officer IO0211.",IO0211,Reviewed,0.942
DOC001784,C001784,Statement,2020-12-04,English,"On 20 November 2020 at approximately 19:25 hrs, Dev G. was reported in connection with a voluntarily causing hurt incident in the Swargate area, Pune. Nandini Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH15OG6578 and contact number 9419636164 in connection with the reported events. The matter was registered on 27 November 2020 under IPC 323 and assigned to investigating officer IO0264.",IO0264,Final,0.961
DOC001785,C001785,Investigation Note,2021-08-13,English,"On 12 July 2021 at approximately 22:53 hrs, Rohan Kadam was reported in connection with a sexual harassment incident in the Baner area, Pune. Yash D Salunkhe was identified as another person relevant to the inquiry. The record notes vehicle MH42VT2456 and contact number 9928418965 in connection with the reported events. The matter was registered on 21 July 2021 under IPC 354A and assigned to investigating officer IO0163.",IO0163,Final,0.925
DOC001786,C001786,FIR,2022-07-02,English,"On 13 June 2022 at approximately 06:06 hrs, S. Gaikwad was reported in connection with a theft in dwelling house incident in the Vishrantwadi area, Pune. Manish Vijay Salunkhe was identified as another person relevant to the inquiry. The record notes vehicle MH15ER3444 and contact number 9361998453 in connection with the reported events. The matter was registered on 17 June 2022 under IPC 380 and assigned to investigating officer IO0125.",IO0125,Final,0.94
DOC001787,C001787,Investigation Note,2022-04-01,English,"On 27 February 2022 at approximately 20:47 hrs, Abhishek Shinde was reported in connection with a robbery incident in the Wakad area, Pune. Tejas Ramesh Kadam was identified as another person relevant to the inquiry. The record notes vehicle MH14OV6674 and contact number 9750680160 in connection with the reported events. The matter was registered on 02 March 2022 under IPC 392 and assigned to investigating officer IO0109.",IO0109,Archived,0.964
DOC001788,C001788,FIR,2020-10-18,English,"On 29 September 2020 at approximately 18:21 hrs, Pooja S. was reported in connection with a theft in dwelling house incident in the Pimpri area, Pune. Gaurav Sanjay Pande was identified as another person relevant to the inquiry. The record notes vehicle MH14EK1339 and contact number 9815948339 in connection with the reported events. The matter was registered on 07 October 2020 under IPC 380 and assigned to investigating officer IO0251.",IO0251,Final,0.979
DOC001789,C001789,Investigation Note,2019-06-03,English,"On 22 April 2019 at approximately 21:14 hrs, Rahul Dilip Salunkhe was reported in connection with a forgery incident in the Vishrantwadi area, Pune. Bhavana Dilip Kale was identified as another person relevant to the inquiry. The record notes vehicle MH14WX3957 and contact number 9888488501 in connection with the reported events. The matter was registered on 05 May 2019 under IPC 465 and assigned to investigating officer IO0273.",IO0273,Final,0.963
